County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
WAKE,11/8/22,OSWD 81-120,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,No, ,1,0,25,0,0,25,N
WAKE,11/8/22,ABSEN 1-40,21,C,CITY OF RALEIGH CITY COUNCIL DISTRICT C,Frank T. Fields III, ,1,0,0,151,0,151,N
WAKE,11/8/22,ABSEN 1-40,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Todd Kennedy, ,1,0,0,69,0,69,N
WAKE,11/8/22,ABSEN 1-40,920017,C,CITY OF RALEIGH MAYOR,Terrance (Truth) Ruth, ,1,0,0,2251,0,2251,N
WAKE,11/8/22,ABSEN 41-80,920017,C,CITY OF RALEIGH MAYOR,Jamie Harper (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,ABSEN 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Joshua Bradley, ,2,0,0,551,0,551,N
WAKE,11/8/22,ABSEN 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Ms. Stormie Denise Forte, ,2,0,0,1591,0,1591,N
WAKE,11/8/22,ABSEN 81-120,920017,C,CITY OF RALEIGH MAYOR,James Bledsoe (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,ABSEN 81-120,920017,C,CITY OF RALEIGH MAYOR,Jonathan Felts (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSAV 1-40,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Rob Baumgart, ,1,0,24,0,0,24,N
WAKE,11/8/22,OSAV 1-40,920017,C,CITY OF RALEIGH MAYOR,Betsy Coley (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSAV 1-40,920023,C,CITY OF RALEIGH CITY COUNCIL DISTRICT E,David Knight, ,1,0,8,0,0,8,N
WAKE,11/8/22,OSJB 81-120,920017,C,CITY OF RALEIGH MAYOR,Donnie Harrison (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSLL 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Megan Patton (Write-In),,2,0,1,0,0,1,N
WAKE,11/8/22,OSLL 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Paul Fitts (Write-In),,2,0,0,0,0,0,N
