county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
RANDOLPH,11/07/2023,voter,AS,11,UNA,O,HL,F,Age 26 - 40,8,11/27/2023,
RANDOLPH,11/07/2023,voter,SE,17,REP,U,NL,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,24,UNA,W,UN,F,Age 41 - 65,11,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,DEM,B,NL,U,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,RM,31,REP,B,NL,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,20,UNA,W,UN,M,Age 41 - 65,38,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,29,DEM,U,HL,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,UNA,W,NL,M,Age 41 - 65,97,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,09,REP,W,NL,M,Age Over 66,65,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,14,UNA,W,NL,F,Age 18 - 25,5,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,26,UNA,O,HL,F,Age 26 - 40,3,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,11,UNA,B,NL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,DEM,B,UN,M,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,37,DEM,B,UN,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,25,LIB,W,NL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RM,31,REP,A,UN,M,Age 18 - 25,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,LIB,U,UN,U,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,BC,13,DEM,W,NL,M,Age 41 - 65,21,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,20,REP,W,NL,F,Age 26 - 40,73,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,UNA,A,NL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SE,27,UNA,W,UN,M,Age 26 - 40,4,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,04,REP,U,NL,F,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,11,UNA,W,UN,F,Age 26 - 40,33,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,29,DEM,M,UN,U,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,33,LIB,O,NL,F,Age 18 - 25,1,11/27/2023,
